timestamp,container,cpu%,mem_usage,mem_limit,mem%,net_i,net_o,block_i,block_o,pids
20:56:08,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:11,estudo-mariadb,475.90%,455.7MiB,5.729GiB,7.77%,692kB,98.7MB,265MB,166kB,42
20:56:11,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:14,estudo-mariadb,486.55%,458.9MiB,5.729GiB,7.82%,800kB,114MB,265MB,188kB,42
20:56:14,estudo-postgres,0.02%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:17,estudo-mariadb,420.11%,459MiB,5.729GiB,7.82%,882kB,126MB,265MB,200kB,42
20:56:17,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:20,estudo-mariadb,259.94%,459MiB,5.729GiB,7.82%,945kB,135MB,265MB,212kB,42
20:56:20,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:23,estudo-mariadb,460.74%,459.1MiB,5.729GiB,7.83%,1MB,143MB,265MB,229kB,42
20:56:23,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:27,estudo-mariadb,165.15%,459.1MiB,5.729GiB,7.83%,1.12MB,159MB,265MB,240kB,42
20:56:27,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:30,estudo-mariadb,351.81%,459.2MiB,5.729GiB,7.83%,1.15MB,164MB,265MB,247kB,42
20:56:30,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:33,estudo-mariadb,258.33%,459.2MiB,5.729GiB,7.83%,1.26MB,179MB,265MB,258kB,42
20:56:33,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:36,estudo-mariadb,241.72%,459.2MiB,5.729GiB,7.83%,1.31MB,186MB,265MB,269kB,42
20:56:36,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:39,estudo-mariadb,411.80%,459.4MiB,5.729GiB,7.83%,1.42MB,202MB,265MB,297kB,42
20:56:39,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:42,estudo-mariadb,175.34%,459.2MiB,5.729GiB,7.83%,1.51MB,215MB,265MB,306kB,33
20:56:42,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:45,estudo-mariadb,183.08%,459.2MiB,5.729GiB,7.83%,1.56MB,222MB,265MB,312kB,33
20:56:45,estudo-postgres,0.49%,23.73MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:48,estudo-mariadb,336.69%,459.3MiB,5.729GiB,7.83%,1.68MB,239MB,265MB,341kB,33
20:56:48,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:51,estudo-mariadb,461.35%,459.4MiB,5.729GiB,7.83%,1.75MB,249MB,265MB,370kB,33
20:56:51,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:54,estudo-mariadb,205.23%,459.4MiB,5.729GiB,7.83%,1.8MB,256MB,265MB,379kB,33
20:56:54,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:56:57,estudo-mariadb,156.03%,459.5MiB,5.729GiB,7.83%,1.89MB,268MB,265MB,390kB,33
20:56:57,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:00,estudo-mariadb,381.47%,459.6MiB,5.729GiB,7.83%,1.96MB,278MB,265MB,400kB,33
20:57:00,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:03,estudo-mariadb,237.93%,459.6MiB,5.729GiB,7.83%,2.03MB,287MB,265MB,417kB,33
20:57:03,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:06,estudo-mariadb,261.85%,459.6MiB,5.729GiB,7.83%,2.13MB,301MB,265MB,438kB,33
20:57:06,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:10,estudo-mariadb,282.71%,459.7MiB,5.729GiB,7.84%,2.19MB,309MB,265MB,447kB,33
20:57:10,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:13,estudo-mariadb,273.22%,459.7MiB,5.729GiB,7.84%,2.26MB,319MB,265MB,462kB,33
20:57:13,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:16,estudo-mariadb,323.61%,459.7MiB,5.729GiB,7.84%,2.32MB,327MB,265MB,471kB,33
20:57:16,estudo-postgres,0.49%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:19,estudo-mariadb,460.31%,459.8MiB,5.729GiB,7.84%,2.42MB,340MB,265MB,495kB,33
20:57:19,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:22,estudo-mariadb,310.55%,459.9MiB,5.729GiB,7.84%,2.47MB,347MB,265MB,522kB,33
20:57:22,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:25,estudo-mariadb,391.34%,460MiB,5.729GiB,7.84%,2.57MB,361MB,265MB,545kB,33
20:57:25,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:28,estudo-mariadb,374.73%,460MiB,5.729GiB,7.84%,2.65MB,372MB,265MB,560kB,33
20:57:28,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:31,estudo-mariadb,486.89%,460.1MiB,5.729GiB,7.84%,2.71MB,381MB,265MB,574kB,33
20:57:31,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:34,estudo-mariadb,332.48%,460.2MiB,5.729GiB,7.84%,2.75MB,386MB,265MB,585kB,33
20:57:34,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:37,estudo-mariadb,493.55%,460.2MiB,5.729GiB,7.84%,2.85MB,398MB,265MB,603kB,33
20:57:37,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:40,estudo-mariadb,320.03%,460.3MiB,5.729GiB,7.85%,2.93MB,410MB,265MB,622kB,33
20:57:40,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:43,estudo-mariadb,264.09%,460.6MiB,5.729GiB,7.85%,3.01MB,422MB,265MB,629kB,33
20:57:43,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:47,estudo-mariadb,422.11%,460.4MiB,5.729GiB,7.85%,3.08MB,431MB,265MB,646kB,33
20:57:47,estudo-postgres,0.47%,23.74MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:50,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:57:50,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:53,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:57:53,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:56,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:57:56,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:57:59,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:57:59,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:02,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:02,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:05,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:05,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:08,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:08,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:11,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:11,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:14,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:14,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:17,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:17,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:20,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:20,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:23,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:23,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:26,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:26,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.25kB,126B,0B,414kB,9
20:58:29,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:29,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:32,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:32,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:35,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,33
20:58:35,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:38,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,32
20:58:38,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:42,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,32
20:58:42,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:45,estudo-mariadb,0.02%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,32
20:58:45,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:48,estudo-mariadb,0.01%,460.4MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,32
20:58:48,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:51,estudo-mariadb,0.02%,460.3MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,30
20:58:51,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:54,estudo-mariadb,0.02%,460.3MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,30
20:58:54,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:58:59,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,30
20:58:59,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:59:02,estudo-mariadb,0.02%,460.3MiB,5.729GiB,7.85%,3.1MB,433MB,265MB,651kB,30
20:59:02,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:59:05,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.11MB,433MB,265MB,651kB,30
20:59:05,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:59:08,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.11MB,433MB,265MB,651kB,30
20:59:08,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:59:11,estudo-mariadb,0.02%,460.3MiB,5.729GiB,7.85%,3.11MB,433MB,265MB,651kB,30
20:59:11,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:59:14,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.11MB,433MB,265MB,651kB,30
20:59:14,estudo-postgres,0.00%,23.52MiB,5.729GiB,0.40%,1.32kB,126B,0B,414kB,9
20:59:18,estudo-mariadb,0.02%,460.3MiB,5.729GiB,7.85%,3.11MB,433MB,265MB,651kB,30
20:59:18,estudo-postgres,0.02%,23.58MiB,5.729GiB,0.40%,1.32kB,126B,0B,418kB,9
20:59:21,estudo-mariadb,0.02%,460.3MiB,5.729GiB,7.85%,3.11MB,433MB,265MB,651kB,30
20:59:21,estudo-postgres,0.01%,23.58MiB,5.729GiB,0.40%,1.32kB,126B,0B,418kB,9
