timestamp,container,cpu%,mem_usage,mem_limit,mem%,net_i,net_o,block_i,block_o,pids
21:05:20,estudo-postgres,108.82%,216.9MiB,5.729GiB,3.70%,1.61MB,155MB,65.5kB,1.99MB,29
21:05:23,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:23,estudo-postgres,185.40%,231.6MiB,5.729GiB,3.95%,1.79MB,173MB,65.5kB,2.07MB,36
21:05:26,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:26,estudo-postgres,158.12%,222.9MiB,5.729GiB,3.80%,2.01MB,194MB,123kB,2.3MB,35
21:05:29,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:29,estudo-postgres,152.86%,230.6MiB,5.729GiB,3.93%,2.12MB,205MB,123kB,2.35MB,36
21:05:32,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:32,estudo-postgres,145.19%,226.8MiB,5.729GiB,3.87%,2.3MB,222MB,131kB,2.52MB,33
21:05:36,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:36,estudo-postgres,140.82%,216.8MiB,5.729GiB,3.70%,2.47MB,239MB,131kB,2.65MB,29
21:05:39,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:39,estudo-postgres,102.63%,224.9MiB,5.729GiB,3.83%,2.63MB,255MB,147kB,2.78MB,35
21:05:42,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:42,estudo-postgres,139.63%,225.4MiB,5.729GiB,3.84%,2.79MB,272MB,147kB,2.85MB,33
21:05:45,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:45,estudo-postgres,131.98%,227.1MiB,5.729GiB,3.87%,2.97MB,289MB,147kB,2.99MB,34
21:05:48,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:48,estudo-postgres,142.83%,221.8MiB,5.729GiB,3.78%,3.17MB,312MB,147kB,3.1MB,31
21:05:51,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:51,estudo-postgres,170.28%,220.8MiB,5.729GiB,3.76%,3.28MB,322MB,156kB,3.2MB,31
21:05:54,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:54,estudo-postgres,176.24%,226.6MiB,5.729GiB,3.86%,3.49MB,344MB,172kB,3.4MB,35
21:05:57,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:05:57,estudo-postgres,189.59%,214.2MiB,5.729GiB,3.65%,3.65MB,360MB,188kB,3.56MB,29
21:06:00,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:00,estudo-postgres,179.24%,214.7MiB,5.729GiB,3.66%,3.75MB,371MB,188kB,3.61MB,29
21:06:03,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:03,estudo-postgres,124.83%,212.8MiB,5.729GiB,3.63%,3.97MB,394MB,213kB,3.72MB,29
21:06:06,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:06,estudo-postgres,187.55%,211.9MiB,5.729GiB,3.61%,4.07MB,405MB,229kB,3.86MB,29
21:06:09,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:09,estudo-postgres,130.76%,213.3MiB,5.729GiB,3.64%,4.22MB,421MB,229kB,3.94MB,29
21:06:12,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:12,estudo-postgres,121.94%,211.3MiB,5.729GiB,3.60%,4.39MB,438MB,229kB,4.13MB,29
21:06:15,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:15,estudo-postgres,201.57%,212.3MiB,5.729GiB,3.62%,4.56MB,456MB,238kB,4.21MB,29
21:06:18,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:18,estudo-postgres,206.33%,213.2MiB,5.729GiB,3.63%,4.74MB,472MB,238kB,4.36MB,29
21:06:22,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:22,estudo-postgres,182.80%,225.2MiB,5.729GiB,3.84%,4.91MB,488MB,246kB,4.44MB,36
21:06:25,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:25,estudo-postgres,175.00%,211.5MiB,5.729GiB,3.60%,5.08MB,505MB,246kB,4.54MB,29
21:06:28,estudo-mariadb,0.00%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:28,estudo-postgres,176.80%,213.1MiB,5.729GiB,3.63%,5.26MB,522MB,246kB,4.66MB,29
21:06:31,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:31,estudo-postgres,227.49%,213.9MiB,5.729GiB,3.65%,5.42MB,538MB,246kB,4.79MB,30
21:06:34,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:34,estudo-postgres,190.51%,215.1MiB,5.729GiB,3.67%,5.6MB,555MB,246kB,4.87MB,31
21:06:37,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:37,estudo-postgres,166.05%,210.2MiB,5.729GiB,3.58%,5.76MB,571MB,246kB,4.96MB,29
21:06:40,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:40,estudo-postgres,102.78%,218.9MiB,5.729GiB,3.73%,5.94MB,588MB,254kB,5.04MB,33
21:06:43,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:43,estudo-postgres,147.24%,210MiB,5.729GiB,3.58%,6.11MB,604MB,254kB,5.14MB,29
21:06:46,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:46,estudo-postgres,127.29%,211.3MiB,5.729GiB,3.60%,6.29MB,621MB,270kB,5.24MB,29
21:06:49,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:49,estudo-postgres,150.46%,227.8MiB,5.729GiB,3.88%,6.46MB,638MB,270kB,5.32MB,36
21:06:52,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:52,estudo-postgres,239.15%,214.4MiB,5.729GiB,3.66%,6.63MB,654MB,270kB,5.46MB,31
21:06:55,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:55,estudo-postgres,194.03%,212.1MiB,5.729GiB,3.62%,6.79MB,671MB,270kB,5.64MB,29
21:06:58,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:06:58,estudo-postgres,157.69%,222.8MiB,5.729GiB,3.80%,6.96MB,688MB,270kB,5.73MB,36
21:07:01,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:01,estudo-postgres,199.23%,213.4MiB,5.729GiB,3.64%,7.14MB,705MB,270kB,5.96MB,29
21:07:04,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:04,estudo-postgres,0.02%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.96MB,29
21:07:07,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:07,estudo-postgres,0.01%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.96MB,29
21:07:10,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:10,estudo-postgres,0.04%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:14,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:14,estudo-postgres,0.03%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:17,estudo-mariadb,0.03%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:17,estudo-postgres,0.56%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:20,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:20,estudo-postgres,0.02%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:23,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:23,estudo-postgres,0.01%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:26,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:26,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:29,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:29,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:32,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:32,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:35,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:35,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:38,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:38,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:41,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:41,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:44,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:44,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.18MB,709MB,270kB,5.97MB,29
21:07:47,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:47,estudo-postgres,0.53%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:07:50,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:50,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:07:53,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:53,estudo-postgres,0.01%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:07:56,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:56,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:07:59,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:07:59,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:02,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:02,estudo-postgres,0.01%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:05,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:05,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:09,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:09,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:12,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:12,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:15,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:15,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:18,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:18,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:21,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:21,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:24,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:24,estudo-postgres,0.01%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:27,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:27,estudo-postgres,0.01%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:30,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:30,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:33,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:33,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:36,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:36,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:39,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:39,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:42,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:42,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:45,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:45,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:48,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:48,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:51,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:51,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:54,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:54,estudo-postgres,0.01%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:08:57,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:08:57,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:09:00,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:00,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:09:04,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:04,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:09:07,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:07,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:09:10,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:10,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:09:13,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:13,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:09:16,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:16,estudo-postgres,0.00%,211.6MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.97MB,29
21:09:19,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:19,estudo-postgres,0.10%,211.7MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.98MB,29
21:09:22,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:22,estudo-postgres,0.06%,211.7MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.98MB,29
21:09:25,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:25,estudo-postgres,0.15%,211.7MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.98MB,29
21:09:28,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:28,estudo-postgres,0.11%,211.7MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,5.98MB,29
21:09:31,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:31,estudo-postgres,0.10%,211.7MiB,5.729GiB,3.61%,7.19MB,709MB,270kB,6.04MB,29
21:09:34,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:34,estudo-postgres,0.08%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.04MB,29
21:09:37,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:37,estudo-postgres,0.06%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.04MB,29
21:09:40,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:40,estudo-postgres,0.08%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.12MB,29
21:09:43,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:43,estudo-postgres,0.05%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.12MB,29
21:09:46,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:46,estudo-postgres,0.50%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:09:49,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:49,estudo-postgres,0.02%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:09:52,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:52,estudo-postgres,0.02%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:09:56,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:56,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:09:59,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:09:59,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:02,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:02,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:05,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:05,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:08,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:08,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:11,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:11,estudo-postgres,0.01%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:14,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:14,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:17,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:17,estudo-postgres,0.48%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:20,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:20,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:23,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:23,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:26,estudo-mariadb,0.02%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:26,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:29,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:29,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:32,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:32,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:35,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:35,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:38,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:38,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:41,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
21:10:41,estudo-postgres,0.00%,211.7MiB,5.729GiB,3.61%,7.2MB,709MB,270kB,6.14MB,29
21:10:44,estudo-mariadb,0.01%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
